id,question_hi,question_en,true_answer,llama8b_hi_pred,llama8b_hi_correct,llama8b_en_pred,llama8b_en_correct,llama70b_hi_pred,llama70b_hi_correct,llama70b_en_pred,llama70b_en_correct
0,पैंथर्स डिफ़ेंस ने कितने अंक दिए?,How many points did the Panthers defense surrender?,308,308 अंक,True,308 points.,True,308 अंक,True,308 points,True
1,जेरेड एलन के पास कितने करियर सैक थे?,How many career sacks did Jared Allen have?,136,136,True,136,True,136,True,136,True
2,ल्यूक कुएक्ली ने कितने टैकल रजिस्टर किए?,How many tackles did Luke Kuechly register?,118,118,True,118,True,118,True,118,True
3,जोश नॉर्मन ने कितने बॉल को इंटरसेप्ट किया?,How many balls did Josh Norman intercept?,चार,चार,True,Four.,True,चार इंटर्सेप्शन,True,4,False
4,इस सीज़न में टीम से किसने सबसे अधिक सैक रजिस्टर किए?,Who registered the most sacks on the team this season?,कावन शॉर्ट,कावन शॉर्ट,True,Kawann Short.,True,कावन शॉर्ट,True,Kawann Short,True
5,2015 में पैंथर्स डिफ़ेंस ने कितने इंटर्सेप्शन पुरे किए?,How many interceptions are the Panthers defense credited with in 2015?,24,चार,False,24,True,24,True,24,True
6,सैक में पैंथर्स का नेतृत्व किसने किया?,Who led the Panthers in sacks?,कावन शॉर्ट,कावन शॉर्ट,True,Kawann Short.,True,कावन शॉर्ट,True,Kawann Short,True
7,प्रो बाउल के लिए कितने पैंथर्स डिफ़ेंस खिलाड़ियों का चयन किया गया था?,How many Panthers defense players were selected for the Pro Bowl?,चार,चार,True,Seven.,False,चार प्रो बाउल चयन,True,Four,True
8,थॉमस डेविस ने कितने फ़ोर्स्ड फ़म्बल किए थे?,How many forced fumbles did Thomas Davis have?,चार,चार फ़ोर्स्ड फ़म्बल,True,Four.,True,चार,True,Four,True
9,सीज़न में किस खिलाड़ी ने सबसे अधिक इंटर्सेप्शन किए?,Which player had the most interceptions for the season?,कर्ट कोलमैन,कर्ट कोलमैन,True,Kurt Coleman.,True,कर्ट कोलमैन,True,Kurt Coleman,True
